"index","beta_0.1","beta_0.2","beta_0.3","beta_0.4","beta_0.5","beta_0.6","income_t.1","income_t.2","income_t.3","income_t.4","income_t.5","income_t.6","price","Y"
0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.66,2
0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.67,2
0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,1.09,2
0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.57,2
0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.36,2
0,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.93,2
1,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.63,3
1,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.67,3
1,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,3
1,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.57,3
1,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.36,3
1,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,1.03,3
2,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.29,6
2,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.5,6
2,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,6
2,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.57,6
2,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.36,6
2,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.69,6
3,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.62,2
3,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.61,2
3,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,2
3,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.57,2
3,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.36,2
3,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.75,2
4,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.5,5
4,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.58,5
4,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,5
4,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.45,5
4,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.33,5
4,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.72,5
5,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.58,5
5,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.45,5
5,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,5
5,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.45,5
5,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.33,5
5,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.72,5
6,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0,0.29,2
6,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0,0.51,2
6,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0,0.99,2
6,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0,0.29,2
6,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0,0.33,2
6,0,0,0,0,0,1,0,0,0,0,0,0.205710564268432,0.72,2
7,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.66,2
7,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.45,2
7,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,1.08,2
7,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,2
7,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,2
7,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,2
8,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.66,5
8,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.59,5
8,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,1.08,5
8,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,5
8,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,5
8,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,5
9,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.66,3
9,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.67,3
9,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,1.09,3
9,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,3
9,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,3
9,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,3
10,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.63,5
10,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.59,5
10,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,1.08,5
10,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,5
10,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,5
10,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,5
11,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.63,3
11,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.59,3
11,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,3
11,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,3
11,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,3
11,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.88,3
12,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,3
12,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,3
12,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,3
12,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.49,3
12,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,3
12,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,3
13,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,2
13,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.45,2
13,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,2
13,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,2
13,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,2
13,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,2
14,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,6
14,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,6
14,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
14,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,6
14,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,6
14,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,6
15,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.29,1
15,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.5,1
15,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,1
15,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.33,1
15,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,1
15,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,1
16,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.39,4
16,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
16,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
16,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,4
16,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
16,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,4
17,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.19,4
17,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
17,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
17,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,4
